ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Source
amdotibetan,Amdo Tibetan,,,,,,
kurtokha,Kurtokha,,,,,,
maonaga,Mao Naga,,,,,,
tshangla,Tshangla,,,,,,
westernmuya,Western Muya,,,,,,
tulu,Tulu,,,,,,
negidal,Negidal,,,,,,
atongindia,Atong (India),,,,,,
malaccabataviaportuguesecreole,Malacca-Batavia Portuguese Creole,,,,,,
varhadinagpuri,Varhadi-Nagpuri,,,,,,
centralkhmer,Central Khmer,,,,,,
daaichin,Daai Chin,,,,,,
dhimal,Dhimal,,,,,,
japhug,Japhug,,,,,,
peripheralmongolian,Peripheral Mongolian,,,,,,
khasi,Khasi,,,,,,
komizyrian,Komi-Zyrian,,,,,,
ersu,Ersu,,,,,,
katso,Katso,,,,,,
westernmagar,Western Magar,,,,,,
tangam,Tangam,,,,,,
mewati,Mewati,,,,,,
nyahkur,Nyahkur,,,,,,
dhivehi,Dhivehi,,,,,,
kirghiz,Kirghiz,,,,,,
southernrengmanaga,Southern Rengma Naga,,,,,,
lashi,Lashi,,,,,,
sindhi,Sindhi,,,,,,
centralbai,Central Bai,,,,,,
northazerbaijani,North Azerbaijani,,,,,,
hakkachinese,Hakka Chinese,,,,,,
bujhyal,Bujhyal,,,,,,
mon,Mon,,,,,,
cosao,Cosao,,,,,,
korku,Korku,,,,,,
westernarmenian,Western Armenian,,,,,,
archi,Archi,,,,,,
rabha,Rabha,,,,,,
huichinese,Hui Chinese,,,,,,
malavedan,Malavedan,,,,,,
korrakoraga,Korra Koraga,,,,,,
domari,Domari,,,,,,
moderngreek,Modern Greek,,,,,,
tundranenets,Tundra Nenets,,,,,,
manipuri,Manipuri,,,,,,
bulostieng,Bulo Stieng,,,,,,
khamstibetan,Khams Tibetan,,,,,,
zauzou,Zauzou,,,,,,
southernqiang,Southern Qiang,,,,,,
moken,Moken,,,,,,
gujarati,Gujarati,,,,,,
purikshamnubra,Purik-Sham-Nubra,,,,,,
jinyuchinese,Jinyu Chinese,,,,,,
sunwar,Sunwar,,,,,,
taidomeneyo,Tai Do-Mene-Yo,,,,,,
jerung,Jerung,,,,,,
okinoerabu,Oki-No-Erabu,,,,,,
dumi,Dumi,,,,,,
kayanlahwi,Kayan Lahwi,,,,,,
kaduo,Kaduo,,,,,,
naukanyupik,Naukan Yupik,,,,,,
irulaofthenilgiri,Irula of the Nilgiri,,,,,,
kondadora,Konda-Dora,,,,,,
ladino,Ladino,,,,,,
malayalam,Malayalam,,,,,,
maithili,Maithili,,,,,,
korean,Korean,,,,,,
pacoh,Pacoh,,,,,,
centralhongshuihezhuang,Central Hongshuihe Zhuang,,,,,,
northernpashto,Northern Pashto,,,,,,
kabardian,Kabardian,,,,,,
centralchong,Central Chong,,,,,,
bisu,Bisu,,,,,,
aou,A'ou,,,,,,
tibetan,Tibetan,,,,,,
bugan,Bugan,,,,,,
southazerbaijani,South Azerbaijani,,,,,,
northernjinghpaw,Northern Jinghpaw,,,,,,
friulian,Friulian,,,,,,
northwesternkolami,Northwestern Kolami,,,,,,
solukhumbusherpa,Solu-Khumbu Sherpa,,,,,,
bonan,Bonan,,,,,,
southernjinghpaw,Southern Jinghpaw,,,,,,
tsat,Tsat,,,,,,
easternnewari,Eastern Newari,,,,,,
northernpumi,Northern Pumi,,,,,,
chak,Chak,,,,,,
kyerung,Kyerung,,,,,,
mlabri,Mlabri,,,,,,
yakkha,Yakkha,,,,,,
limbu,Limbu,,,,,,
rajbanshi,Rajbanshi,,,,,,
westerntamang,Western Tamang,,,,,,
forestenets,Forest Enets,,,,,,
phomnaga,Phom Naga,,,,,,
caomiao,Cao Miao,,,,,,
westyugur,West Yugur,,,,,,
nungmyanmar,Nung (Myanmar),,,,,,
southernyukaghir,Southern Yukaghir,,,,,,
burushaski,Burushaski,,,,,,
aromanian,Aromanian,,,,,,
manchu,Manchu,,,,,,
pela,Pela,,,,,,
e,E,,,,,,
bunan,Bunan,,,,,,
southernaltai,Southern Altai,,,,,,
sangkong,Sangkong,,,,,,
westernongbe,Western Ong-Be,,,,,,
russiaburiat,Russia Buriat,,,,,,
zemenaga,Zeme Naga,,,,,,
zbu,Zbu,,,,,,
dungan,Dungan,,,,,,
chintang,Chintang,,,,,,
maonan,Maonan,,,,,,
bettakurumba,Betta Kurumba,,,,,,
chukchi,Chukchi,,,,,,
southwa,South Wa,,,,,,
lakkia,Lakkia,,,,,,
daohua,Daohua,,,,,,
narua,Narua,,,,,,
badaga,Badaga,,,,,,
welsh,Welsh,,,,,,
lehladakhi,Leh Ladakhi,,,,,,
marathi,Marathi,,,,,,
honi,Honi,,,,,,
selkup,Selkup,,,,,,
kazakh,Kazakh,,,,,,
sholaga,Sholaga,,,,,,
kodava,Kodava,,,,,,
wayu,Wayu,,,,,,
lahu,Lahu,,,,,,
dandamimaria,Dandami Maria,,,,,,
yuechinese,Yue Chinese,,,,,,
kumyk,Kumyk,,,,,,
yerongsouthernbuyang,Yerong-Southern Buyang,,,,,,
chothe,Chothe,,,,,,
moyon,Moyon,,,,,,
hindi,Hindi,,,,,,
kado,Kado,,,,,,
burmese,Burmese,,,,,,
lachi,Lachi,,,,,,
avar,Avar,,,,,,
sinhala,Sinhala,,,,,,
wuchinese,Wu Chinese,,,,,,
hmongnjua,Hmong Njua,,,,,,
pnar,Pnar,,,,,,
kman,Kman,,,,,,
gata,Gata',,,,,,
wambule,Wambule,,,,,,
longchuanachang,Longchuan Achang,,,,,,
macedonian,Macedonian,,,,,,
vachvasjugan,Vach-Vasjugan,,,,,,
northernpinghua,Northern Pinghua,,,,,,
sui,Sui,,,,,,
tsez,Tsez,,,,,,
shixing,Shixing,,,,,,
kumaoni,Kumaoni,,,,,,
northcentraldargwa,North-Central Dargwa,,,,,,
halhmongolian,Halh Mongolian,,,,,,
tuvinian,Tuvinian,,,,,,
mongghul,Mongghul,,,,,,
nganasan,Nganasan,,,,,,
pwoeasternkaren,Pwo Eastern Karen,,,,,,
westernpuroik,Western Puroik,,,,,,
ostfrankisch,Ostfränkisch,,,,,,
kuy,Kuy,,,,,,
zaiwa,Zaiwa,,,,,,
kirmanjki,Kirmanjki,,,,,,
assamese,Assamese,,,,,,
hillskarbi,Hills Karbi,,,,,,
chuvash,Chuvash,,,,,,
deori,Deori,,,,,,
danish,Danish,,,,,,
piemontese,Piemontese,,,,,,
hinuq,Hinuq,,,,,,
nuristanikalasha,Nuristani Kalasha,,,,,,
vietnamese,Vietnamese,,,,,,
noctenaga,Nocte Naga,,,,,,
nihali,Nihali,,,,,,
wutunhua,Wutunhua,,,,,,
mangghuer,Mangghuer,,,,,,
kotiaadivasioriyadesiya,Kotia-Adivasi Oriya-Desiya,,,,,,
thakali,Thakali,,,,,,
puxianchinese,Pu-Xian Chinese,,,,,,
lamjungmelamchiyolmo,Lamjung-Melamchi Yolmo,,,,,,
arvanitikaalbanian,Arvanitika Albanian,,,,,,
iumien,Iu Mien,,,,,,
bih,Bih,,,,,,
cypriotarabic,Cypriot Arabic,,,,,,
jejueo,Jejueo,,,,,,
