ID,Language_ID,Sequence,Order,Category,IPA
seg_1,bezhta,mp,1,Coda,m
seg_2,bezhta,np,1,Coda,n
seg_3,bezhta,wp,1,Coda,w
seg_4,bezhta,jp,1,Coda,j
seg_5,bezhta,lp,1,Coda,l
seg_6,bezhta,rp,1,Coda,r
seg_7,bezhta,mb,1,Coda,m
seg_8,bezhta,nb,1,Coda,n
seg_9,bezhta,wb,1,Coda,w
seg_10,bezhta,jb,1,Coda,j
seg_11,bezhta,lb,1,Coda,l
seg_12,bezhta,rb,1,Coda,r
seg_13,bezhta,mpʼ,1,Coda,m
seg_14,bezhta,npʼ,1,Coda,n
seg_15,bezhta,wpʼ,1,Coda,w
seg_16,bezhta,jpʼ,1,Coda,j
seg_17,bezhta,lpʼ,1,Coda,l
seg_18,bezhta,rpʼ,1,Coda,r
seg_19,bezhta,mt,1,Coda,m
seg_20,bezhta,nt,1,Coda,n
seg_21,bezhta,wt,1,Coda,w
seg_22,bezhta,jt,1,Coda,j
seg_23,bezhta,lt,1,Coda,l
seg_24,bezhta,rt,1,Coda,r
seg_25,bezhta,md,1,Coda,m
seg_26,bezhta,nd,1,Coda,n
seg_27,bezhta,wd,1,Coda,w
seg_28,bezhta,jd,1,Coda,j
seg_29,bezhta,ld,1,Coda,l
seg_30,bezhta,rd,1,Coda,r
seg_31,bezhta,mtʼ,1,Coda,m
seg_32,bezhta,ntʼ,1,Coda,n
seg_33,bezhta,wtʼ,1,Coda,w
seg_34,bezhta,jtʼ,1,Coda,j
seg_35,bezhta,ltʼ,1,Coda,l
seg_36,bezhta,rtʼ,1,Coda,r
seg_37,bezhta,mt͡s,1,Coda,m
seg_38,bezhta,nt͡s,1,Coda,n
seg_39,bezhta,wt͡s,1,Coda,w
seg_40,bezhta,jt͡s,1,Coda,j
seg_41,bezhta,lt͡s,1,Coda,l
seg_42,bezhta,rt͡s,1,Coda,r
seg_43,bezhta,mt͡sʼ,1,Coda,m
seg_44,bezhta,nt͡sʼ,1,Coda,n
seg_45,bezhta,wt͡sʼ,1,Coda,w
seg_46,bezhta,jt͡sʼ,1,Coda,j
seg_47,bezhta,lt͡sʼ,1,Coda,l
seg_48,bezhta,rt͡sʼ,1,Coda,r
seg_49,bezhta,ms,1,Coda,m
seg_50,bezhta,ns,1,Coda,n
seg_51,bezhta,ws,1,Coda,w
seg_52,bezhta,js,1,Coda,j
seg_53,bezhta,ls,1,Coda,l
seg_54,bezhta,rs,1,Coda,r
seg_55,bezhta,mz,1,Coda,m
seg_56,bezhta,nz,1,Coda,n
seg_57,bezhta,wz,1,Coda,w
seg_58,bezhta,jz,1,Coda,j
seg_59,bezhta,lz,1,Coda,l
seg_60,bezhta,rz,1,Coda,r
seg_61,bezhta,mc͡ç,1,Coda,m
seg_62,bezhta,nc͡ç,1,Coda,n
seg_63,bezhta,wc͡ç,1,Coda,w
seg_64,bezhta,jc͡ç,1,Coda,j
seg_65,bezhta,lc͡ç,1,Coda,l
seg_66,bezhta,rc͡ç,1,Coda,r
seg_67,bezhta,mc͡çʼ,1,Coda,m
seg_68,bezhta,nc͡çʼ,1,Coda,n
seg_69,bezhta,wc͡çʼ,1,Coda,w
seg_70,bezhta,jc͡çʼ,1,Coda,j
seg_71,bezhta,lc͡çʼ,1,Coda,l
seg_72,bezhta,rc͡çʼ,1,Coda,r
seg_73,bezhta,mç,1,Coda,m
seg_74,bezhta,nç,1,Coda,n
seg_75,bezhta,wç,1,Coda,w
seg_76,bezhta,jç,1,Coda,j
seg_77,bezhta,lç,1,Coda,l
seg_78,bezhta,rç,1,Coda,r
seg_79,bezhta,mʝ,1,Coda,m
seg_80,bezhta,nʝ,1,Coda,n
seg_81,bezhta,wʝ,1,Coda,w
seg_82,bezhta,jʝ,1,Coda,j
seg_83,bezhta,lʝ,1,Coda,l
seg_84,bezhta,rʝ,1,Coda,r
seg_85,bezhta,mt͡ɬ,1,Coda,m
seg_86,bezhta,nt͡ɬ,1,Coda,n
seg_87,bezhta,wt͡ɬ,1,Coda,w
seg_88,bezhta,jt͡ɬ,1,Coda,j
seg_89,bezhta,lt͡ɬ,1,Coda,l
seg_90,bezhta,rt͡ɬ,1,Coda,r
seg_91,bezhta,mt͡ɬʼ,1,Coda,m
seg_92,bezhta,nt͡ɬʼ,1,Coda,n
seg_93,bezhta,wt͡ɬʼ,1,Coda,w
seg_94,bezhta,jt͡ɬʼ,1,Coda,j
seg_95,bezhta,lt͡ɬʼ,1,Coda,l
seg_96,bezhta,rt͡ɬʼ,1,Coda,r
seg_97,bezhta,mɬ,1,Coda,m
seg_98,bezhta,nɬ,1,Coda,n
seg_99,bezhta,wɬ,1,Coda,w
seg_100,bezhta,jɬ,1,Coda,j
seg_101,bezhta,lɬ,1,Coda,l
seg_102,bezhta,rɬ,1,Coda,r
