ID,Language_ID,Sequence,Order,Category,Segment
seq_1,aou,bl,1,Onset,b
seq_2,aou,bl,2,Onset,l
seq_3,aou,d,1,Onset,d
seq_4,aou,f,1,Onset,f
seq_5,aou,h,1,Onset,h
seq_6,aou,j,1,Onset,j
seq_7,aou,k,1,Onset,k
seq_8,aou,kʰ,1,Onset,kʰ
seq_9,aou,l,1,Onset,l
seq_10,aou,m,1,Onset,m
seq_11,aou,ml,1,Onset,m
seq_12,aou,ml,2,Onset,l
seq_13,aou,n,1,Onset,n
seq_14,aou,p,1,Onset,p
seq_15,aou,pl,1,Onset,p
seq_16,aou,pl,2,Onset,l
seq_17,aou,pʰ,1,Onset,pʰ
seq_18,aou,q,1,Onset,q
seq_19,aou,qʰ,1,Onset,qʰ
seq_20,aou,s,1,Onset,s
seq_21,aou,t,1,Onset,t
seq_22,aou,tʰ,1,Onset,tʰ
seq_23,aou,t͡s,1,Onset,t͡s
seq_24,aou,t͡sʰ,1,Onset,t͡sʰ
seq_25,aou,t͡ɕ,1,Onset,t͡ɕ
seq_26,aou,t͡ɕʰ,1,Onset,t͡ɕʰ
seq_27,aou,v,1,Onset,v
seq_28,aou,vl,1,Onset,v
seq_29,aou,vl,2,Onset,l
seq_30,aou,w,1,Onset,w
seq_31,aou,z,1,Onset,z
seq_32,aou,ŋ,1,Onset,ŋ
seq_33,aou,ɕ,1,Onset,ɕ
seq_34,aou,ɣ,1,Onset,ɣ
seq_35,aou,ɬ,1,Onset,ɬ
seq_36,aou,ɭ,1,Onset,ɭ
seq_37,aou,ʁ,1,Onset,ʁ
seq_38,aou,ʑ,1,Onset,ʑ
seq_39,aou,ʔ,1,Onset,ʔ
seq_40,aou,χ,1,Onset,χ
seq_41,aou,a,1,Nucleus,a
seq_42,aou,ai,1,Nucleus,a
seq_43,aou,ai,2,Nucleus,i
seq_44,aou,aɯ,1,Nucleus,a
seq_45,aou,aɯ,2,Nucleus,ɯ
seq_46,aou,e,1,Nucleus,e
seq_47,aou,ei,1,Nucleus,e
seq_48,aou,ei,2,Nucleus,i
seq_49,aou,i,1,Nucleus,i
seq_50,aou,ia,1,Nucleus,i
seq_51,aou,ia,2,Nucleus,a
seq_52,aou,iau,1,Nucleus,i
seq_53,aou,iau,2,Nucleus,a
seq_54,aou,iau,3,Nucleus,u
seq_55,aou,ie,1,Nucleus,i
seq_56,aou,ie,2,Nucleus,e
seq_57,aou,iu,1,Nucleus,i
seq_58,aou,iu,2,Nucleus,u
seq_59,aou,iɔ,1,Nucleus,i
seq_60,aou,iɔ,2,Nucleus,ɔ
seq_61,aou,iəu,1,Nucleus,i
seq_62,aou,iəu,2,Nucleus,ə
seq_63,aou,iəu,3,Nucleus,u
seq_64,aou,iəɯ,1,Nucleus,i
seq_65,aou,iəɯ,2,Nucleus,ə
seq_66,aou,iəɯ,3,Nucleus,ɯ
seq_67,aou,u,1,Nucleus,u
seq_68,aou,ua,1,Nucleus,u
seq_69,aou,ua,2,Nucleus,a
seq_70,aou,uai,1,Nucleus,u
seq_71,aou,uai,2,Nucleus,a
seq_72,aou,uai,3,Nucleus,i
seq_73,aou,uau,1,Nucleus,u
seq_74,aou,uau,2,Nucleus,a
seq_75,aou,uau,3,Nucleus,u
seq_76,aou,uei,1,Nucleus,u
seq_77,aou,uei,2,Nucleus,e
seq_78,aou,uei,3,Nucleus,i
seq_79,aou,ui,1,Nucleus,u
seq_80,aou,ui,2,Nucleus,i
seq_81,aou,uəɯ,1,Nucleus,u
seq_82,aou,uəɯ,2,Nucleus,ə
seq_83,aou,uəɯ,3,Nucleus,ɯ
seq_84,aou,z,1,Nucleus,z
seq_85,aou,ɔ,1,Nucleus,ɔ
seq_86,aou,əu,1,Nucleus,ə
seq_87,aou,əu,2,Nucleus,u
seq_88,aou,əɯ,1,Nucleus,ə
seq_89,aou,əɯ,2,Nucleus,ɯ
seq_90,aou,ɤu,1,Nucleus,ɤ
seq_91,aou,ɤu,2,Nucleus,u
seq_92,aou,#,1,Coda,#
seq_93,aou,n,1,Coda,n
seq_94,aou,ŋ,1,Coda,ŋ
seq_95,adyghe,a,1,Nucleus,a
seq_96,adyghe,e,1,Nucleus,e
seq_97,adyghe,ə,1,Nucleus,ə
seq_98,akajeru,#,1,Onset,#
seq_99,akajeru,b,1,Onset,b
seq_100,akajeru,c,1,Onset,c
seq_101,akajeru,d,1,Onset,d
seq_102,akajeru,j,1,Onset,j
seq_103,akajeru,j,1,Onset,j
seq_104,akajeru,k,1,Onset,k
seq_105,akajeru,kʰ,1,Onset,kʰ
seq_106,akajeru,kʰr,1,Onset,kʰ
seq_107,akajeru,kʰr,2,Onset,r
seq_108,akajeru,l,1,Onset,l
seq_109,akajeru,m,1,Onset,m
seq_110,akajeru,n,1,Onset,n
seq_111,akajeru,p,1,Onset,p
seq_112,akajeru,pʰ,1,Onset,pʰ
seq_113,akajeru,r,1,Onset,r
seq_114,akajeru,s,1,Onset,s
seq_115,akajeru,t,1,Onset,t
seq_116,akajeru,tr,1,Onset,t
seq_117,akajeru,tr,2,Onset,r
seq_118,akajeru,tʰ,1,Onset,tʰ
seq_119,akajeru,ŋ,1,Onset,ŋ
seq_120,akajeru,ɖ,1,Onset,ɖ
seq_121,akajeru,ɲ,1,Onset,ɲ
seq_122,akajeru,ʃ,1,Onset,ʃ
seq_123,akajeru,ʈ,1,Onset,ʈ
seq_124,akajeru,ʈʰ,1,Onset,ʈʰ
seq_125,akajeru,ae,1,Nucleus,a
seq_126,akajeru,ae,2,Nucleus,e
seq_127,akajeru,aeo,1,Nucleus,a
seq_128,akajeru,aeo,2,Nucleus,e
seq_129,akajeru,aeo,3,Nucleus,o
seq_130,akajeru,ai,1,Nucleus,a
seq_131,akajeru,ai,2,Nucleus,i
seq_132,akajeru,aia,1,Nucleus,a
seq_133,akajeru,aia,2,Nucleus,i
seq_134,akajeru,aia,3,Nucleus,a
seq_135,akajeru,aie,1,Nucleus,a
seq_136,akajeru,aie,2,Nucleus,i
seq_137,akajeru,aie,3,Nucleus,e
seq_138,akajeru,ao,1,Nucleus,a
seq_139,akajeru,ao,2,Nucleus,o
seq_140,akajeru,aou,1,Nucleus,a
seq_141,akajeru,aou,2,Nucleus,o
seq_142,akajeru,aou,3,Nucleus,u
seq_143,akajeru,au,1,Nucleus,a
seq_144,akajeru,au,2,Nucleus,u
seq_145,akajeru,aɛ,1,Nucleus,a
seq_146,akajeru,aɛ,2,Nucleus,ɛ
seq_147,akajeru,aːe,1,Nucleus,aː
seq_148,akajeru,aːe,2,Nucleus,e
seq_149,akajeru,aːo,1,Nucleus,aː
seq_150,akajeru,aːo,2,Nucleus,o
seq_151,akajeru,aːu,1,Nucleus,aː
seq_152,akajeru,aːu,2,Nucleus,u
seq_153,akajeru,e,1,Nucleus,e
seq_154,akajeru,ea,1,Nucleus,e
seq_155,akajeru,ea,2,Nucleus,a
seq_156,akajeru,ei,1,Nucleus,e
seq_157,akajeru,ei,2,Nucleus,i
seq_158,akajeru,eia,1,Nucleus,e
seq_159,akajeru,eia,2,Nucleus,i
seq_160,akajeru,eia,3,Nucleus,a
seq_161,akajeru,eo,1,Nucleus,e
seq_162,akajeru,eo,2,Nucleus,o
seq_163,akajeru,eoɛ,1,Nucleus,e
seq_164,akajeru,eoɛ,2,Nucleus,o
seq_165,akajeru,eoɛ,3,Nucleus,ɛ
seq_166,akajeru,eu,1,Nucleus,e
seq_167,akajeru,eu,2,Nucleus,u
seq_168,akajeru,eɔ,1,Nucleus,e
seq_169,akajeru,eɔ,2,Nucleus,ɔ
seq_170,akajeru,eː,1,Nucleus,eː
seq_171,akajeru,i,1,Nucleus,i
seq_172,akajeru,ia,1,Nucleus,i
seq_173,akajeru,ia,2,Nucleus,a
seq_174,akajeru,ieu,1,Nucleus,i
seq_175,akajeru,ieu,2,Nucleus,e
seq_176,akajeru,ieu,3,Nucleus,u
seq_177,akajeru,io,1,Nucleus,i
seq_178,akajeru,io,2,Nucleus,o
seq_179,akajeru,ioi,1,Nucleus,i
seq_180,akajeru,ioi,2,Nucleus,o
seq_181,akajeru,ioi,3,Nucleus,i
seq_182,akajeru,iu,1,Nucleus,i
seq_183,akajeru,iu,2,Nucleus,u
seq_184,akajeru,iue,1,Nucleus,i
seq_185,akajeru,iue,2,Nucleus,u
seq_186,akajeru,iue,3,Nucleus,e
seq_187,akajeru,iɛ,1,Nucleus,i
seq_188,akajeru,iɛ,2,Nucleus,ɛ
seq_189,akajeru,iː,1,Nucleus,iː
seq_190,akajeru,iːe,1,Nucleus,iː
seq_191,akajeru,iːe,2,Nucleus,e
seq_192,akajeru,iːo,1,Nucleus,iː
seq_193,akajeru,iːo,2,Nucleus,o
seq_194,akajeru,o,1,Nucleus,o
seq_195,akajeru,oa,1,Nucleus,o
seq_196,akajeru,oa,2,Nucleus,a
seq_197,akajeru,oe,1,Nucleus,o
seq_198,akajeru,oe,2,Nucleus,e
seq_199,akajeru,oi,1,Nucleus,o
seq_200,akajeru,oi,2,Nucleus,i
seq_201,akajeru,oio,1,Nucleus,o
seq_202,akajeru,oio,2,Nucleus,i
seq_203,akajeru,oio,3,Nucleus,o
seq_204,akajeru,ou,1,Nucleus,o
seq_205,akajeru,ou,2,Nucleus,u
seq_206,akajeru,oɔ,1,Nucleus,o
seq_207,akajeru,oɔ,2,Nucleus,ɔ
seq_208,akajeru,oɛ,1,Nucleus,o
seq_209,akajeru,oɛ,2,Nucleus,ɛ
seq_210,akajeru,oː,1,Nucleus,oː
seq_211,akajeru,oːa,1,Nucleus,oː
seq_212,akajeru,oːa,2,Nucleus,a
seq_213,akajeru,oːe,1,Nucleus,oː
seq_214,akajeru,oːe,2,Nucleus,e
seq_215,akajeru,oːɔ,1,Nucleus,oː
seq_216,akajeru,oːɔ,2,Nucleus,ɔ
seq_217,akajeru,u,1,Nucleus,u
seq_218,akajeru,ua,1,Nucleus,u
seq_219,akajeru,ua,2,Nucleus,a
seq_220,akajeru,ue,1,Nucleus,u
seq_221,akajeru,ue,1,Nucleus,u
seq_222,akajeru,ue,2,Nucleus,e
seq_223,akajeru,ue,2,Nucleus,e
seq_224,akajeru,ui,1,Nucleus,u
seq_225,akajeru,ui,2,Nucleus,i
seq_226,akajeru,uo,1,Nucleus,u
seq_227,akajeru,uo,2,Nucleus,o
seq_228,akajeru,uɔ,1,Nucleus,u
seq_229,akajeru,uɔ,2,Nucleus,ɔ
seq_230,akajeru,uː,1,Nucleus,uː
seq_231,akajeru,ɑ,1,Nucleus,ɑ
seq_232,akajeru,ɑː,1,Nucleus,ɑː
seq_233,akajeru,ɔ,1,Nucleus,ɔ
seq_234,akajeru,ɔa,1,Nucleus,ɔ
seq_235,akajeru,ɔa,2,Nucleus,a
seq_236,akajeru,ɔe,1,Nucleus,ɔ
seq_237,akajeru,ɔe,2,Nucleus,e
seq_238,akajeru,ɔi,1,Nucleus,ɔ
seq_239,akajeru,ɔi,2,Nucleus,i
seq_240,akajeru,ɔo,1,Nucleus,ɔ
seq_241,akajeru,ɔo,2,Nucleus,o
seq_242,akajeru,ɔɛ,1,Nucleus,ɔ
seq_243,akajeru,ɔɛ,2,Nucleus,ɛ
seq_244,akajeru,ɔː,1,Nucleus,ɔː
seq_245,akajeru,ɔːe,1,Nucleus,ɔː
seq_246,akajeru,ɔːe,2,Nucleus,e
seq_247,akajeru,ɛ,1,Nucleus,ɛ
seq_248,akajeru,ɛi,1,Nucleus,ɛ
seq_249,akajeru,ɛi,2,Nucleus,i
seq_250,akajeru,ɛo,1,Nucleus,ɛ
seq_251,akajeru,ɛo,1,Nucleus,ɛ
seq_252,akajeru,ɛo,1,Nucleus,ɛ
seq_253,akajeru,ɛo,2,Nucleus,o
seq_254,akajeru,ɛo,2,Nucleus,o
seq_255,akajeru,ɛo,2,Nucleus,o
seq_256,akajeru,ɛːi,1,Nucleus,ɛː
seq_257,akajeru,ɛːi,2,Nucleus,i
seq_258,akajeru,#,1,Coda,#
seq_259,akajeru,b,1,Coda,b
seq_260,akajeru,c,1,Coda,c
seq_261,akajeru,d,1,Coda,d
seq_262,akajeru,j,1,Coda,j
seq_263,akajeru,j,1,Coda,j
seq_264,akajeru,k,1,Coda,k
seq_265,akajeru,l,1,Coda,l
seq_266,akajeru,m,1,Coda,m
seq_267,akajeru,n,1,Coda,n
seq_268,akajeru,p,1,Coda,p
seq_269,akajeru,r,1,Coda,r
seq_270,akajeru,s,1,Coda,s
seq_271,akajeru,t,1,Coda,t
seq_272,akajeru,ŋ,1,Coda,ŋ
seq_273,akajeru,ɖ,1,Coda,ɖ
seq_274,akajeru,ɲ,1,Coda,ɲ
seq_275,akajeru,ʈ,1,Coda,ʈ
seq_276,amdotibetan,#,1,Onset,#
seq_277,amdotibetan,b,1,Onset,b
seq_278,amdotibetan,d,1,Onset,d
seq_279,amdotibetan,d͡z,1,Onset,d͡z
seq_280,amdotibetan,d͡ʑ,1,Onset,d͡ʑ
seq_281,amdotibetan,f,1,Onset,f
seq_282,amdotibetan,h,1,Onset,h
seq_283,amdotibetan,hj,1,Onset,h
seq_284,amdotibetan,hj,2,Onset,j
seq_285,amdotibetan,hk,1,Onset,h
seq_286,amdotibetan,hk,2,Onset,k
seq_287,amdotibetan,hl,1,Onset,h
seq_288,amdotibetan,hl,2,Onset,l
seq_289,amdotibetan,hm,1,Onset,h
seq_290,amdotibetan,hm,2,Onset,m
seq_291,amdotibetan,hn,1,Onset,h
seq_292,amdotibetan,hn,2,Onset,n
seq_293,amdotibetan,hp,1,Onset,h
seq_294,amdotibetan,hp,2,Onset,p
seq_295,amdotibetan,hpj,1,Onset,h
seq_296,amdotibetan,hpj,2,Onset,p
seq_297,amdotibetan,hpj,3,Onset,j
seq_298,amdotibetan,ht,1,Onset,h
seq_299,amdotibetan,ht,2,Onset,t
seq_300,amdotibetan,ht͡s,1,Onset,h
seq_301,amdotibetan,ht͡s,2,Onset,t͡s
seq_302,amdotibetan,ht͡ɕ,1,Onset,h
seq_303,amdotibetan,ht͡ɕ,2,Onset,t͡ɕ
seq_304,amdotibetan,hŋ,1,Onset,h
seq_305,amdotibetan,hŋ,2,Onset,ŋ
seq_306,amdotibetan,hɲ̟,1,Onset,h
seq_307,amdotibetan,hɲ̟,2,Onset,ɲ̟
seq_308,amdotibetan,hʈ,1,Onset,h
