ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
tone_1,aou,tone,13,,,
tone_2,aou,tone,31,,,
tone_3,aou,tone,33,,,
tone_4,aou,tone,55,,,
tone_5,angaminaga,tone,F,,,
tone_6,angaminaga,tone,H,,,
tone_7,angaminaga,tone,L,,,
tone_8,angaminaga,tone,M,,,
tone_9,angaminaga,tone,R,,,
tone_10,aonaga,tone,H,,,
tone_11,aonaga,tone,L,,,
tone_12,aonaga,tone,M,,,
tone_13,ashochin,tone,22/11,,,
tone_14,ashochin,tone,44,,,
tone_15,ashochin,tone,52,,,
tone_16,bezhta,tone,H,,,
tone_17,bezhta,tone,L,,,
tone_18,bezhta,tone,M,,,
tone_19,bisu,tone,H,,,
tone_20,bisu,tone,L,,,
tone_21,bisu,tone,M,,,
tone_22,biyo,tone,31,,,
tone_23,biyo,tone,33,,,
tone_24,biyo,tone,35,,,
tone_25,biyo,tone,53,,,
tone_26,biyo,tone,55,,,
tone_27,bodomech,tone,H,,,
tone_28,bodomech,tone,L,,,
tone_29,bodomech,tone,M,,,
tone_30,bolyu,tone,11,,,
tone_31,bolyu,tone,13,,,
tone_32,bolyu,tone,31,,,
tone_33,bolyu,tone,33,,,
tone_34,bolyu,tone,53,,,
tone_35,bolyu,tone,55,,,
tone_36,bugan,tone,24,,,
tone_37,bugan,tone,31,,,
tone_38,bugan,tone,44,,,
tone_39,bugan,tone,55,,,
tone_40,burmese,tone,Hʰ,,,
tone_41,burmese,tone,Hˀ,,,
tone_42,burmese,tone,L,,,
tone_43,caomiao,tone,21,,,
tone_44,caomiao,tone,212,,,
tone_45,caomiao,tone,23,,,
tone_46,caomiao,tone,3,,,
tone_47,caomiao,tone,32/332,,,
tone_48,caomiao,tone,33,,,
tone_49,caomiao,tone,34/324,,,
tone_50,caomiao,tone,35/335,,,
tone_51,caomiao,tone,5/45,,,
tone_52,caomiao,tone,52/452,,,
tone_53,centralbai,tone,21,,,
tone_54,centralbai,tone,31,,,
tone_55,centralbai,tone,33,,,
tone_56,centralbai,tone,35,,,
tone_57,centralbai,tone,42,,,
tone_58,centralbai,tone,44,,,
tone_59,centralbai,tone,55,,,
tone_60,centralbai,tone,55,,,
tone_61,centralchong,tone,22/21,,,
tone_62,centralchong,tone,344/334/332,,,
tone_63,centralchong,tone,451/342,,,
tone_64,centralhongshuihezhuang,tone,13,,,
tone_65,centralhongshuihezhuang,tone,13C,,,
tone_66,centralhongshuihezhuang,tone,21C,,,
tone_67,centralhongshuihezhuang,tone,231,,,
tone_68,centralhongshuihezhuang,tone,31,,,
tone_69,centralhongshuihezhuang,tone,33,,,
tone_70,centralhongshuihezhuang,tone,33C,,,
tone_71,centralhongshuihezhuang,tone,43,,,
tone_72,centralhongshuihezhuang,tone,55,,,
tone_73,centralhongshuihezhuang,tone,55C,,,
tone_74,chak,tone,H,,,
tone_75,chak,tone,L,,,
tone_76,chongofchanthaburi,tone,HFʰˀ,,,
tone_77,chongofchanthaburi,tone,HRˀ/Fˀ,,,
tone_78,chongofchanthaburi,tone,LFʰ,,,
tone_79,chongofchanthaburi,tone,M/HR,,,
tone_80,chothe,tone,F,,,
tone_81,chothe,tone,M,,,
tone_82,chut,tone,H,,,
tone_83,chut,tone,HR,,,
tone_84,chut,tone,L,,,
tone_85,chut,tone,LFR,,,
tone_86,cosao,tone,24,,,
tone_87,cosao,tone,31,,,
tone_88,cosao,tone,33,,,
tone_89,cosao,tone,53,,,
tone_90,cosao,tone,55,,,
tone_91,daaichin,tone,HF,,,
tone_92,daaichin,tone,M,,,
tone_93,daohua,tone,324,,,
tone_94,daohua,tone,332,,,
tone_95,daohua,tone,51,,,
tone_96,daohua,tone,554,,,
tone_97,darma,tone,H,,,
tone_98,darma,tone,L,,,
tone_99,deori,tone,H,,,
tone_100,deori,tone,M,,,
tone_101,dungan,tone,24,,,
tone_102,dungan,tone,44,,,
tone_103,dungan,tone,51,,,
tone_104,duoluogelao,tone,31,,,
tone_105,duoluogelao,tone,33,,,
tone_106,duoluogelao,tone,35,,,
tone_107,duoluogelao,tone,55,,,
tone_108,e,tone,24,,,
tone_109,e,tone,24C,,,
tone_110,e,tone,31,,,
tone_111,e,tone,35,,,
