GRAPHEME,NAME
ɲ̟,advanced voiced palatal nasal consonant
t͡ʃʰː,aspirated long voiceless post-alveolar sibilant affricate consonant
dʰ,aspirated voiced alveolar stop consonant
bʰ,aspirated voiced bilabial stop consonant
d̪͡z̪ʰ,aspirated voiced dental sibilant affricate consonant
d̪ʰ,aspirated voiced dental stop consonant
ɡʰ,aspirated voiced velar stop consonant
tɬʰ,aspirated voiceless alveolar lateral affricate consonant
ɬʰ,aspirated voiceless alveolar lateral fricative consonant
t͡sʰ,aspirated voiceless alveolar sibilant affricate consonant
sʰ,aspirated voiceless alveolar sibilant fricative consonant
tʰ,aspirated voiceless alveolar stop consonant
t͡ɕʰ,aspirated voiceless alveolo-palatal sibilant affricate consonant
ɕʰ,aspirated voiceless alveolo-palatal sibilant fricative consonant
pʰ,aspirated voiceless bilabial stop consonant
t̪͡s̪ʰ,aspirated voiceless dental sibilant affricate consonant
t̪ʰ,aspirated voiceless dental stop consonant
p͡fʰ,aspirated voiceless labio-dental affricate consonant
fʰ,aspirated voiceless labio-dental fricative consonant
c͡çʰ,aspirated voiceless palatal affricate consonant
cʰ,aspirated voiceless palatal stop consonant
t͡ʃʰ,aspirated voiceless post-alveolar sibilant affricate consonant
ʃʰ,aspirated voiceless post-alveolar sibilant fricative consonant
ʈ͡ʂʰ,aspirated voiceless retroflex sibilant affricate consonant
ʂʰ,aspirated voiceless retroflex sibilant fricative consonant
ʈʰ,aspirated voiceless retroflex stop consonant
χʰ,aspirated voiceless uvular fricative consonant
qʰ,aspirated voiceless uvular stop consonant
xʰ,aspirated voiceless velar fricative consonant
kʰ,aspirated voiceless velar stop consonant
ɹ̤,breathy voiced alveolar approximant consonant
l̤,breathy voiced alveolar lateral approximant consonant
n̤,breathy voiced alveolar nasal consonant
d͡z̤,breathy voiced alveolar sibilant affricate consonant
z̤,breathy voiced alveolar sibilant fricative consonant
d̤,breathy voiced alveolar stop consonant
d͡ʑ̤,breathy voiced alveolo-palatal sibilant affricate consonant
ʑ̤,breathy voiced alveolo-palatal sibilant fricative consonant
m̤,breathy voiced bilabial nasal consonant
b̤,breathy voiced bilabial stop consonant
d̪̤,breathy voiced dental stop consonant
v̤,breathy voiced labio-dental fricative consonant
w̤,breathy voiced labio-velar approximant consonant
ɟ͡ʝ̤,breathy voiced palatal affricate consonant
j̤,breathy voiced palatal approximant consonant
ɲ̤,breathy voiced palatal nasal consonant
ɟ̤,breathy voiced palatal stop consonant
d͡ʒ̤,breathy voiced post-alveolar sibilant affricate consonant
ʒ̤,breathy voiced post-alveolar sibilant fricative consonant
ɖ͡ʐ̤,breathy voiced retroflex sibilant affricate consonant
ɖ̤,breathy voiced retroflex stop consonant
ɢ̤,breathy voiced uvular stop consonant
ŋ̤,breathy voiced velar nasal consonant
ɡ̤,breathy voiced velar stop consonant
ṵ,creaky rounded close back vowel
o̰,creaky rounded close-mid back vowel
ø̰,creaky rounded close-mid front vowel
ɔ̰,creaky rounded open-mid back vowel
ɯ̰,creaky unrounded close back vowel
ɨ̰,creaky unrounded close central vowel
ḭ,creaky unrounded close front vowel
ɤ̰,creaky unrounded close-mid back vowel
ḛ,creaky unrounded close-mid front vowel
ə̰,creaky unrounded mid central vowel
æ̰,creaky unrounded near-open front vowel
a̰,creaky unrounded open front vowel
ɛ̰,creaky unrounded open-mid front vowel
z̰,creaky voiced alveolar sibilant fricative consonant
v̰,creaky voiced labio-dental fricative consonant
ʒ̰,creaky voiced post-alveolar sibilant fricative consonant
ɹ̥,devoiced voiced alveolar approximant consonant
l̥,devoiced voiced alveolar lateral approximant consonant
n̥,devoiced voiced alveolar nasal consonant
ɾ̥,devoiced voiced alveolar tap consonant
r̥,devoiced voiced alveolar trill consonant
m̥,devoiced voiced bilabial nasal consonant
w̥,devoiced voiced labio-velar approximant consonant
j̥,devoiced voiced palatal approximant consonant
ʎ̥,devoiced voiced palatal lateral approximant consonant
ɲ̥,devoiced voiced palatal nasal consonant
ɭ̥,devoiced voiced retroflex lateral approximant consonant
ɳ̥,devoiced voiced retroflex nasal consonant
ɽ̥,devoiced voiced retroflex tap consonant
ŋ̥,devoiced voiced velar nasal consonant
uˀ,glottalized rounded close back vowel
ɔˀ,glottalized rounded open-mid back vowel
iˀ,glottalized unrounded close front vowel
eˀ,glottalized unrounded close-mid front vowel
aˀ,glottalized unrounded open front vowel
lˀ,glottalized voiced alveolar lateral approximant consonant
nˀ,glottalized voiced alveolar nasal consonant
dˀ,glottalized voiced alveolar stop consonant
rˀ,glottalized voiced alveolar trill consonant
mˀ,glottalized voiced bilabial nasal consonant
bˀ,glottalized voiced bilabial stop consonant
ðˀ,glottalized voiced dental fricative consonant
wˀ,glottalized voiced labio-velar approximant consonant
jˀ,glottalized voiced palatal approximant consonant
ɲˀ,glottalized voiced palatal nasal consonant
d͡ʒˀ,glottalized voiced post-alveolar sibilant affricate consonant
ɖˀ,glottalized voiced retroflex stop consonant
ŋˀ,glottalized voiced velar nasal consonant
ɬˀ,glottalized voiceless alveolar lateral fricative consonant
t͡sˀ,glottalized voiceless alveolar sibilant affricate consonant
sˀ,glottalized voiceless alveolar sibilant fricative consonant
tˀ,glottalized voiceless alveolar stop consonant
ɕˀ,glottalized voiceless alveolo-palatal sibilant fricative consonant
pˀ,glottalized voiceless bilabial stop consonant
t̪͡s̪ˀ,glottalized voiceless dental sibilant affricate consonant
c͡çˀ,glottalized voiceless palatal affricate consonant
cˀ,glottalized voiceless palatal stop consonant
t͡ʃˀ,glottalized voiceless post-alveolar sibilant affricate consonant
ʃˀ,glottalized voiceless post-alveolar sibilant fricative consonant
