"Lect","Note"
"Abaza","``Lamino-post-alveolar'' and ``apico-palatal'' are interpreted as alveolo-palatal and palato-alveolar, respectively. ``Fronted dorso-velar'' is interpreted as palatalized velar. The ``[d]orso-palatal voiced lateral fricative'' is transcribed as <ʟ>."
"Andi","``Смычно-гортаные'' interpreted as ejective."
"Aragonese","The ``palatal medial approximant'' <ʝ̞> was transcribed as <j>."
"Archi","The palato-velar affricates transcribed as <kɬ kɬʷ kɬʼ kɬʼʷ> were excluded, as they are not present in PanPhon."
"Aromanian","``Prepalatal and palatal occlusives/fricatives'' interpreted as alveolo-palatal and palato-alveolar affricatives/fricatives. Although the triphthong /uVu/ is logically possible, it is not given as an example; here it is assumed to exist."
"Arpitan","The distinction between the two rhotic consonants, only present intervocally, is between a tap and a trill and/or between an alveolar or an uvular consonant, depending on the speaker (pp. 65--66). Here, they are transcribed as an aveolar tap and an uvular fricative. The source suggests that /ɾ/, which is the only word-final consonant, may be the only coda as well, while not excluding alternative analyses of syllabification (e.g. /ves.tă/ vs. /ve.stă/) that would imply more varieties of coda (p. 94). Here it is treated as the only coda."
"Bagvalal","The ``shipjash'ije'' [hushing] consonants are transcribed here as as alveo-palatal."
"Baharna Arabic","The phonemic status of /ɑ ɑː/ is unclear, hence not listed here. ``Initial'' consonant clusters are interpreted as onset clusters."
"Bashkir","The source only provides the list of word-medial intervocalic clusters and no word-final clusters. For the analysis here, it is assumed that all word-medial clusters are heterosyllabic (VC.CV). The maximal syllable structure, CVCC, is that of the native words (p. 12)."
"Bhojpuri","The list of diphthongs and triphthongs does not seem to be comprehensive, but given its sufficient length, it is coded here as if it were comprehensive."
"Budukh","``Long vowels occur in loanwords, e.g. laːzɨm, `it is necessary', and a few others.'' The comprehensive list of long vowels were not given. Here it is assumed that all short vowels have long counterparts"
"Burushaski","``The restriction of [coda] clusters in loan words is less strict than the one in indigenous words: e.g., qulp ‘lock’ < [Urdu] qufl ( قفل ) ‘id.’.'' (p. 18)"
"Catalan","Eastern variety. ``Prepalatal'' consonants are transcribed as palato-alveolar. It wasn't certain whether the source analyzes VV sequences as nucleus-internal diphthongs as onset-nucleus/nucleus-coda sequences. Here they are transcribed as nuclues-internal diphthongs. The diphthongs were not comprehensively listed, but here it is assumed that all the logical combinations of iV, uV, Vi, and Vu are possible. ([ii]] and [uu] are also possible, cf. p. 385). /ŋ/ is here analyzed as a phoneme contra the source's analysis of /Nk/ > [ŋ], as it always surfaces as [ŋ]. It varies between [ŋ] and [ŋk] before a vowel (p. 373), but even in the case of [ŋk] it can still be analyzed as [ŋ] with a [k] that is deleted in other environments. I thus see no reason to not consider it to be a phoneme other than historical reasons."
"Chechen","``All (or probably all) vowels also occur nasalized'' (p. 8). Here it is assumed that this applies to diphthongs as well. When transcribing nasalized diphthongs, only the vocalic segments (and not the semivocalic segments) were transcribed as nasalized."
"Chong of Chanthaburi","Khlong Phlu variety. The four ``registers'' are here coded as tones."
"Chukchi","V1CV2 varies with V2V2, e. g. [qoɾa] ~ [qaa] `reindeer' (pp. 42-43). Here the V2V2 sequences are interpreted as long vowel phonemes, as they occur tautosyllabically. /t͡s/ in the women's variety corresponds to /s/ in the men's variety. Here, the women's variety is chosen, as the source reports that ``women's Chukchi is not only universal among female speakers of Chukchi, but that due to better rates of language retention among women it comprises the most widely known and used form of the language'' (p. 6). Glottalization, which is a suprasegmental feature according to the source, is not coded here."
"Chuvash","Completed with personal communication with the author."
"Deori","The tone system is described as moribund (p. 74)."
"Dhimal","``Consonant clusters, although not common, do occur due to compounding, elision and word borrowing. Except for the aforementioned cases, the only permitted medials are /y/ and /w/'' (p. 41). Here, only /Cj/ and /Cw/ are listed as possible (onset) clusters, as other exceptional cases were not listed in the source."
"Domari","``[The] phonemic status [of /ʔ/] in word-initial position is controversial, as it tends to disappear in word boundaries ... It is retained, however, after a meaningful pause or else to emphasise a word boundary, in post-vocalic position in the inherited existential negation expression, as well as in Arabic lexemes'' (p. 45). Here it is included as a possible onset."
