Sequence,Order,Lect,Category,ipa
mp,1,Bezhta,Coda,m
np,1,Bezhta,Coda,n
wp,1,Bezhta,Coda,w
jp,1,Bezhta,Coda,j
lp,1,Bezhta,Coda,l
rp,1,Bezhta,Coda,r
mb,1,Bezhta,Coda,m
nb,1,Bezhta,Coda,n
wb,1,Bezhta,Coda,w
jb,1,Bezhta,Coda,j
lb,1,Bezhta,Coda,l
rb,1,Bezhta,Coda,r
mpʼ,1,Bezhta,Coda,m
npʼ,1,Bezhta,Coda,n
wpʼ,1,Bezhta,Coda,w
jpʼ,1,Bezhta,Coda,j
lpʼ,1,Bezhta,Coda,l
rpʼ,1,Bezhta,Coda,r
mt,1,Bezhta,Coda,m
nt,1,Bezhta,Coda,n
wt,1,Bezhta,Coda,w
jt,1,Bezhta,Coda,j
lt,1,Bezhta,Coda,l
rt,1,Bezhta,Coda,r
md,1,Bezhta,Coda,m
nd,1,Bezhta,Coda,n
wd,1,Bezhta,Coda,w
jd,1,Bezhta,Coda,j
ld,1,Bezhta,Coda,l
rd,1,Bezhta,Coda,r
mtʼ,1,Bezhta,Coda,m
ntʼ,1,Bezhta,Coda,n
wtʼ,1,Bezhta,Coda,w
jtʼ,1,Bezhta,Coda,j
ltʼ,1,Bezhta,Coda,l
rtʼ,1,Bezhta,Coda,r
mt͡s,1,Bezhta,Coda,m
nt͡s,1,Bezhta,Coda,n
wt͡s,1,Bezhta,Coda,w
jt͡s,1,Bezhta,Coda,j
lt͡s,1,Bezhta,Coda,l
rt͡s,1,Bezhta,Coda,r
mt͡sʼ,1,Bezhta,Coda,m
nt͡sʼ,1,Bezhta,Coda,n
wt͡sʼ,1,Bezhta,Coda,w
jt͡sʼ,1,Bezhta,Coda,j
lt͡sʼ,1,Bezhta,Coda,l
rt͡sʼ,1,Bezhta,Coda,r
ms,1,Bezhta,Coda,m
ns,1,Bezhta,Coda,n
ws,1,Bezhta,Coda,w
js,1,Bezhta,Coda,j
ls,1,Bezhta,Coda,l
rs,1,Bezhta,Coda,r
mz,1,Bezhta,Coda,m
nz,1,Bezhta,Coda,n
wz,1,Bezhta,Coda,w
jz,1,Bezhta,Coda,j
lz,1,Bezhta,Coda,l
rz,1,Bezhta,Coda,r
mc͡ç,1,Bezhta,Coda,m
nc͡ç,1,Bezhta,Coda,n
wc͡ç,1,Bezhta,Coda,w
jc͡ç,1,Bezhta,Coda,j
lc͡ç,1,Bezhta,Coda,l
rc͡ç,1,Bezhta,Coda,r
mc͡çʼ,1,Bezhta,Coda,m
nc͡çʼ,1,Bezhta,Coda,n
wc͡çʼ,1,Bezhta,Coda,w
jc͡çʼ,1,Bezhta,Coda,j
lc͡çʼ,1,Bezhta,Coda,l
rc͡çʼ,1,Bezhta,Coda,r
mç,1,Bezhta,Coda,m
nç,1,Bezhta,Coda,n
wç,1,Bezhta,Coda,w
jç,1,Bezhta,Coda,j
lç,1,Bezhta,Coda,l
rç,1,Bezhta,Coda,r
mʝ,1,Bezhta,Coda,m
nʝ,1,Bezhta,Coda,n
wʝ,1,Bezhta,Coda,w
jʝ,1,Bezhta,Coda,j
lʝ,1,Bezhta,Coda,l
rʝ,1,Bezhta,Coda,r
mt͡ɬ,1,Bezhta,Coda,m
nt͡ɬ,1,Bezhta,Coda,n
wt͡ɬ,1,Bezhta,Coda,w
jt͡ɬ,1,Bezhta,Coda,j
lt͡ɬ,1,Bezhta,Coda,l
rt͡ɬ,1,Bezhta,Coda,r
mt͡ɬʼ,1,Bezhta,Coda,m
nt͡ɬʼ,1,Bezhta,Coda,n
wt͡ɬʼ,1,Bezhta,Coda,w
jt͡ɬʼ,1,Bezhta,Coda,j
lt͡ɬʼ,1,Bezhta,Coda,l
rt͡ɬʼ,1,Bezhta,Coda,r
mɬ,1,Bezhta,Coda,m
nɬ,1,Bezhta,Coda,n
wɬ,1,Bezhta,Coda,w
jɬ,1,Bezhta,Coda,j
lɬ,1,Bezhta,Coda,l
rɬ,1,Bezhta,Coda,r
mk,1,Bezhta,Coda,m
nk,1,Bezhta,Coda,n
wk,1,Bezhta,Coda,w
jk,1,Bezhta,Coda,j
lk,1,Bezhta,Coda,l
rk,1,Bezhta,Coda,r
mɡ,1,Bezhta,Coda,m
nɡ,1,Bezhta,Coda,n
wɡ,1,Bezhta,Coda,w
jɡ,1,Bezhta,Coda,j
lɡ,1,Bezhta,Coda,l
rɡ,1,Bezhta,Coda,r
mkʼ,1,Bezhta,Coda,m
nkʼ,1,Bezhta,Coda,n
wkʼ,1,Bezhta,Coda,w
jkʼ,1,Bezhta,Coda,j
lkʼ,1,Bezhta,Coda,l
rkʼ,1,Bezhta,Coda,r
mq,1,Bezhta,Coda,m
nq,1,Bezhta,Coda,n
wq,1,Bezhta,Coda,w
jq,1,Bezhta,Coda,j
lq,1,Bezhta,Coda,l
rq,1,Bezhta,Coda,r
mqʼ,1,Bezhta,Coda,m
nqʼ,1,Bezhta,Coda,n
wqʼ,1,Bezhta,Coda,w
jqʼ,1,Bezhta,Coda,j
lqʼ,1,Bezhta,Coda,l
