"Lect","Category","Sequence","Order","Segment"
"A'ou","Onset","bl",1,"b"
"A'ou","Onset","bl",2,"l"
"A'ou","Onset","d",1,"d"
"A'ou","Onset","f",1,"f"
"A'ou","Onset","h",1,"h"
"A'ou","Onset","j",1,"j"
"A'ou","Onset","k",1,"k"
"A'ou","Onset","kʰ",1,"kʰ"
"A'ou","Onset","l",1,"l"
"A'ou","Onset","m",1,"m"
"A'ou","Onset","ml",1,"m"
"A'ou","Onset","ml",2,"l"
"A'ou","Onset","n",1,"n"
"A'ou","Onset","p",1,"p"
"A'ou","Onset","pl",1,"p"
"A'ou","Onset","pl",2,"l"
"A'ou","Onset","pʰ",1,"pʰ"
"A'ou","Onset","q",1,"q"
"A'ou","Onset","qʰ",1,"qʰ"
"A'ou","Onset","s",1,"s"
"A'ou","Onset","t",1,"t"
"A'ou","Onset","tʰ",1,"tʰ"
"A'ou","Onset","t͡s",1,"t͡s"
"A'ou","Onset","t͡sʰ",1,"t͡sʰ"
"A'ou","Onset","t͡ɕ",1,"t͡ɕ"
"A'ou","Onset","t͡ɕʰ",1,"t͡ɕʰ"
"A'ou","Onset","v",1,"v"
"A'ou","Onset","vl",1,"v"
"A'ou","Onset","vl",2,"l"
"A'ou","Onset","w",1,"w"
"A'ou","Onset","z",1,"z"
"A'ou","Onset","ŋ",1,"ŋ"
"A'ou","Onset","ɕ",1,"ɕ"
"A'ou","Onset","ɣ",1,"ɣ"
"A'ou","Onset","ɬ",1,"ɬ"
"A'ou","Onset","ɭ",1,"ɭ"
"A'ou","Onset","ʁ",1,"ʁ"
"A'ou","Onset","ʑ",1,"ʑ"
"A'ou","Onset","ʔ",1,"ʔ"
"A'ou","Onset","χ",1,"χ"
"A'ou","Nucleus","a",1,"a"
"A'ou","Nucleus","ai",1,"a"
"A'ou","Nucleus","ai",2,"i"
"A'ou","Nucleus","aɯ",1,"a"
"A'ou","Nucleus","aɯ",2,"ɯ"
"A'ou","Nucleus","e",1,"e"
"A'ou","Nucleus","ei",1,"e"
"A'ou","Nucleus","ei",2,"i"
"A'ou","Nucleus","i",1,"i"
"A'ou","Nucleus","ia",1,"i"
"A'ou","Nucleus","ia",2,"a"
"A'ou","Nucleus","iau",1,"i"
"A'ou","Nucleus","iau",2,"a"
"A'ou","Nucleus","iau",3,"u"
"A'ou","Nucleus","ie",1,"i"
"A'ou","Nucleus","ie",2,"e"
"A'ou","Nucleus","iu",1,"i"
"A'ou","Nucleus","iu",2,"u"
"A'ou","Nucleus","iɔ",1,"i"
"A'ou","Nucleus","iɔ",2,"ɔ"
"A'ou","Nucleus","iəu",1,"i"
"A'ou","Nucleus","iəu",2,"ə"
"A'ou","Nucleus","iəu",3,"u"
"A'ou","Nucleus","iəɯ",1,"i"
"A'ou","Nucleus","iəɯ",2,"ə"
"A'ou","Nucleus","iəɯ",3,"ɯ"
"A'ou","Nucleus","u",1,"u"
"A'ou","Nucleus","ua",1,"u"
"A'ou","Nucleus","ua",2,"a"
"A'ou","Nucleus","uai",1,"u"
"A'ou","Nucleus","uai",2,"a"
"A'ou","Nucleus","uai",3,"i"
"A'ou","Nucleus","uau",1,"u"
"A'ou","Nucleus","uau",2,"a"
