"Lect","Phoneme"
"A'ou","a"
"A'ou","d"
"A'ou","e"
"A'ou","f"
"A'ou","h"
"A'ou","i"
"A'ou","j"
"A'ou","k"
"A'ou","kʰ"
"A'ou","l"
"A'ou","m"
"A'ou","n"
"A'ou","o"
"A'ou","p"
"A'ou","pʰ"
"A'ou","q"
"A'ou","qʰ"
"A'ou","s"
"A'ou","t"
"A'ou","tʰ"
"A'ou","t͡s"
"A'ou","t͡sʰ"
"A'ou","t͡ɕ"
"A'ou","t͡ɕʰ"
"A'ou","u"
"A'ou","v"
"A'ou","w"
"A'ou","z"
"A'ou","ŋ"
"A'ou","ɔ"
"A'ou","ɕ"
"A'ou","ə"
"A'ou","ɣ"
"A'ou","ɤ"
"A'ou","ɬ"
"A'ou","ɭ"
"A'ou","ɯ"
"A'ou","ʁ"
"A'ou","ʑ"
"A'ou","ʔ"
"A'ou","χ"
"Abaza","a"
"Abaza","b"
"Abaza","d"
"Abaza","d͡z"
"Abaza","d͡ʑ"
"Abaza","d͡ʑʷ"
"Abaza","d͡ʒ"
"Abaza","f"
"Abaza","fʼ"
"Abaza","j"
"Abaza","k"
"Abaza","kʲ"
"Abaza","kʷ"
"Abaza","kʼ"
"Abaza","kʼʲ"
"Abaza","kʼʷ"
"Abaza","l"
"Abaza","m"
"Abaza","n"
"Abaza","p"
"Abaza","pʼ"
"Abaza","q"
"Abaza","qʷ"
"Abaza","qʼ"
"Abaza","qʼʲ"
"Abaza","qʼʷ"
"Abaza","r"
"Abaza","s"
"Abaza","t"
"Abaza","tʼ"
"Abaza","t͡s"
"Abaza","t͡sʼ"
"Abaza","t͡ɕ"
"Abaza","t͡ɕ"
"Abaza","t͡ɕʷ"
"Abaza","t͡ɕʼʷ"
"Abaza","t͡ɬ"
"Abaza","t͡ɬʼ"
"Abaza","t͡ʃ"
"Abaza","t͡ʃʼ"
"Abaza","v"
"Abaza","w"
"Abaza","x"
"Abaza","xʲ"
"Abaza","xʷ"
"Abaza","z"
"Abaza","ç"
"Abaza","çʷ"
"Abaza","ħ"
"Abaza","ħʷ"
"Abaza","ɕ"
"Abaza","ɕʷ"
"Abaza","ə"
"Abaza","ɡ"
"Abaza","ɡʲ"
"Abaza","ɡʷ"
"Abaza","ɣ"
"Abaza","ɣʲ"
"Abaza","ɣʷ"
"Abaza","ʃ"
"Abaza","ʑ"
"Abaza","ʑʷ"
"Abaza","ʒ"
"Abaza","ʔ"
"Abaza","ʕ"
"Abaza","ʕʷ"
"Abaza","ʟ"
"Abkhaz","a"
"Abkhaz","b"
"Abkhaz","d"
"Abkhaz","d̪ʷ"
"Abkhaz","d̪͡z̪"
"Abkhaz","d̪͡z̪ʷ"
"Abkhaz","d͡z"
"Abkhaz","d͡zʲ"
"Abkhaz","f"
"Abkhaz","j"
"Abkhaz","jʷ"
"Abkhaz","k"
"Abkhaz","kʲ"
"Abkhaz","kʷ"
"Abkhaz","kˀ"
"Abkhaz","kˀʲ"
"Abkhaz","kˀʷ"
"Abkhaz","l"
"Abkhaz","m"
"Abkhaz","n̪"
"Abkhaz","p"
"Abkhaz","pˀ"
"Abkhaz","qˀ"
"Abkhaz","qˀʲ"
"Abkhaz","qˀʷ"
"Abkhaz","r̪"
"Abkhaz","s"
"Abkhaz","sʲ"
"Abkhaz","sʷ"
"Abkhaz","s̪"
"Abkhaz","t"
"Abkhaz","tˀ"
"Abkhaz","t̪ʷ"
"Abkhaz","t̪ˀʷ"
"Abkhaz","t̪͡s̪"
"Abkhaz","t̪͡s̪ʷ"
"Abkhaz","t̪͡s̪ˀ"
"Abkhaz","t̪͡w̪ˀʷ"
"Abkhaz","t͡s"
"Abkhaz","t͡sʲ"
"Abkhaz","t͡sˀ"
"Abkhaz","t͡sˀʲ"
"Abkhaz","v"
"Abkhaz","w"
"Abkhaz","x"
"Abkhaz","xʲ"
"Abkhaz","xʷ"
"Abkhaz","z"
"Abkhaz","zʲ"
"Abkhaz","zʷ"
"Abkhaz","z̪"
"Abkhaz","ħ"
"Abkhaz","ħʷ"
"Abkhaz","ə"
"Abkhaz","ɡ"
"Abkhaz","ɡʲ"
"Abkhaz","ɡʷ"
