"Lect","Author","Year","Title","Publisher","School","Booktitle","Editor","Journal","Pages","Volume","Number","Edition"
"A'ou","Li, Xia and Li, Jinfang and Luo, Yongxian",2014,"A Grammar of Zoulei (Southwest China)","Peter Lang","","","","","","",,""
"Abaza","Lomtatidze, Ketevan and Klychev, Rauf",1989,"Abaza","Caravan Books","","The indigenous languages of the Caucasus","Hewitt, B. George","","89--154","",,"1"
"Abkhaz","Chirikba, Viacheslav",2003,"Abkhaz","Lincom Europa","","","","","","",,""
"Adyghe","Smeets, Henricus Joannes",1984,"Studies in West Circassian phonology and morphology","Hakuchi Press","","","","","","",,""
"Akajeru","Abbi, Anvita",2013,"A Grammar of the Great Andamanese Language: An Ethnolinguistic Study","Brill","","","","","","",,""
"Amdo Tibetan","Ebihara, Shiho",2019,"Amudo chibetto go bunpō アムド・チベット語文法 [Amdo Tibetan grammar]","Hitsuji shobō ひつじ書房","","","","","","",,""
"Amur Nivkh","Ekaterina Gruzdeva",1998,"Nivkh","Lincom","","","","","","",,""
"Andi","Salimov Салимов, X. S. Х. С.",2010,"Gagatlinskij govor andijskogo jazyka Гагатлинский говор андийского языка [Gagatli dialect of Andi language]","IJALI ИЯЛИ","","","","","","",,""
"Angami Naga","Kuolie, Duovituo",2004,"Structural description of Tenyidie: a Tibeto-Burman language of Nagaland","","Deccan College","","","","","",,""
"Ao Naga","Coupe, Alexander Robertson",2007,"A Grammar of Mongsen Ao","Mouton de Gruyter","","","","","","",,""
"Apulia-Calabrian Greek","Profili, Olga",1986,"Description du système phonétique et phonologique du parler grico de Corigliano d'Otranto [Description of the phonetic and phonological system of the Grico dialect of Corigliano d'Otranto]","Assoc. linguistica Salentina ``Oronzo Parlangèli''","","","","","","",,""
"Aragonese","Mott, Brian",2007,"Chistabino (Pyrenean Aragonese)","","","","","Journal of the International Phonetic Association","103--114","37",1,""
"Archi","Marina Chumakina",2021,"Archi","Oxford University Press","","The Oxford Handbook of Languages of the Caucasus","Maria Polinsky","","280--316","",,""
"Aromanian","Caragiu-Marioțeanu, Matilda",1968,"Fono-morfologie aromână; studiu de dialectologie structurală [Aromanian phono-morphology; structural dialectology study]","Editura Academiei Republicii Socialiste România","","","","","","",,""
"Arpitan","Martinent, André",1956,"La description phonologie avec application au parler franco-provençal d'Hauteville (Savoie) [The phonological description with application to the Franco-Provençal speech of Hauteville (Savoie)]","Société de publications romanes et françaises","","","","","","",,""
"Arvanitika Albanian","Sasse, Hans-Jürgen",1991,"Arvanitika: Die albanischen Sprachreste in Griechenland [Arvantika: The Albanian language remains in Greece]","Otto Harrassowitz","","","","","","1",,""
"Asho Chin","Zakaria, Muhammad",2018,"A grammar of Hyow","","Nanyang Technological University","","","","","",,""
"Assamese","Goswami, G.",1966,"An Introduction to Assamese Phonology","Deccan College Postgraduate and Research Institute","","","","","","",,""
"Assyrian Neo-Aramaic","Khan, Geoffrey",2008,"The Neo-Aramaic Dialect of Barwar","Brill","","","","","","",,""
"Asturian-Leonese-Cantabrian","de la Llingua Asturiana, Academia",2001,"Gramática de Llingua Asturiana [Grammar of Asturian language]","Academia de la Llingua Asturiana","","","","","","",,"3"
"Atong (India)","van Breugel, Seino",2008,"A Grammar of Atong","","LaTrobe University","","","","","",,""
"Avar","Diana Forker",2021,"Archi","Oxford University Press","","The Oxford Handbook of Languages of the Caucasus","Maria Polinsky","","242--279","",,""
"Baba Malay","Lee, Nala H.",2014,"A grammar of Baba Malay with sociophonetic considerations","","University of Hawai'i at Mānoa","","","","","",,""
"Badaga","Pilot-Raichoor, Christiane",1991,"Le badaga: langue dravidienne (Inde) ; description et analyse [Badaga: Dravidian language (India); description and analysis]","","Université de la Sorbonne Nouvelle (Paris 3)","","","","","",,""
"Bagvalal","Kibrik Кибрик, Alexander Evgen'evič Александер Евгеньевич and Kazenin Казенин, Konstantin Igorevič Константин Игоревич and Ljutikova Лютикова, Ekaterina Anatol'evna Екатерина Анатольевна Tatevosov Татевосов, Sergey Geogriebič Сергей Георгиевич",2001,"Bagvalinskij jazyk: grammatika, teksty, slovari Багвалинский язык: Грамматика, тексты, словари [Bagvalin language: Grammar, texts, dictionaries]","IMLI RAN, Nasledie ИМЛИ РАН, Наследие","","","","","","",,""
"Baharna Arabic","Abdalla Al-Tajir, Mahdi",1982,"Language and linguistics origins in Baḥrain : the Baḥārnah dialect of Arabic","Kegan Paul International","","","","","","",,""
"Baltic Romani","Tenser, Anton",2008,"The Northeastern Group of Romani Dialects","","University of Manchester","","","","","",,""
"Bantawa","Doornenbal, Marius",2009,"A grammar of Bantawa: Grammar, paradigm tables, glossary and texts of a Rai language of Eastern Nepal","","Rijksuniversiteit te Leiden","","","","","",,""
"Bashkir","Nicholas N. Poppe",1964,"Bashkir Manual","Indiana University","","","","","","",,""
"Basque","Hualde, José I. and de Urbina, Jon Ortiz",2003,"A Grammar of Basque","Mouton de Gruyter","","","","","","",,""
"Bats","Holisky, Dee Ann and Rusudan Gagua",1994,"Tsova-Tush (Batsbi)","Caravan Books","","The indigenous languages of the Caucasus","Smeets, Rieks","","147--212","4",,""
"Bavarian","Moosmüller, Sylvia and Schmid, Carolin and Brandstätter, Julia",2015,"Standard Austrian German","","","","","Journal of the International Phonetic Association","339--348","45",3,""
"Belarusian","Bird, Sonya and Litvin, Natallia",2021,"Belarusian","","","","","Journal of the International Phonetic Association","450--467","51",3,""
"Bengali","Thompson, Hanne-Ruth",2012,"Bengali","John Benjamins Publishing Company","","","","","","",,""
"Betta Kurumba","Coelho, Gail M.",2003,"A Grammar of Betta Kurumba","","University of Texas at Austin","","","","","",,""
"Bezhta","Kibrik, Alexander E. and Testelets, Yakov G.",2004,"Bezhta","Caravan Books","","The indigenous languages of the Caucasus","Job, Michael","","217--295","",,""
"Bhojpuri","Thakur, Gopal",2021,"A Grammar of Bhojpuri","LINCOM Europa","","","","","","",,""
"Bih","Nguyen, Tam Thi Min",2013,"A grammar of Bih","","University of Oregon","","","","","",,""
"Bishnupriya Manipuri","Sinha, Kaliprasad",1968,"A study in the Bishnupriya Manipuri language","","Jadavpur University","","","","","",,""
"Bisu","Beaudouin, Patrick",1991,"Une Monographie du Bisu [A monograph of Bisu]","","Université de Nice","","","","","",,""
"Biyo","Jing 经, Dian 典",2015,"Mojiang biyue haniyu cankao yufa 墨江碧约哈尼语参考语法 [Reference Grammar of Mojiang Biyo Hani]","Zhongguo Shehui Kexue Chubanshe 中国社会科学出版社","","","","","","",,""
"Bodo-Mech","Bhattacharya, Pramod Chandra",1977,"A Descriptive Analysis of the Boro Language","Department of Publication, Gauhati University","","","","","","",,""
"Bolyu","Li 李, Xulian 旭练",1999,"Laiyu yanjiu 俫语研究 [A study of Lai]","Minzu Chubanshe 民族出版社","","","","","","",,""
"Bonan","Fried, Robert Wayne",2010,"A grammar of Bao'an Tu, a Mongolic language of northwest China","","State University of New York at Buffalo","","","","","",,""
"Bote","Prasajn Прасайн, B. Б. and Poudel Поудел, B. Б. and Yadava Ядава, J. P. Й. П.",2011,"Bote Jazyk Боте язык [Bote language]","Rossijskaja Akademija Nauk, Institut Jazykozanija Российская Академия Наук, Институт Языкознания","","Jazyki Mira: Novye Indoarijskie Jazyki Языки мира: Новые индоарийские языки [Languages of the world: New Indo-Aryan languages]","Oranskaja Оранская, Tatiana I. Татиана И. and Mazurova Мазурова, Julia V. Юлиа В. and Kibrik Кибрик, Andrej A. Андрей А. and Kulikov Куликов, Leonid I. Леонид И. and Rusakov Русаков, Aleksandr J. Александр Ю.","","282--291","",,""
"Breton","Goyat, Gilles",2012,"Description morphosyntaxique du parler breton de Plozévet (Finistère) [Morphosyntactic description of the Breton dialect of Plozévet (Finistère)]","","Université Rennes 2","","","","","",,""
"Budukh","Alekseev, M. E.",1994,"Budukh","Caravan Books","","The indigenous languages of the Caucasus","Rieks Smeets","","259--297","4",,""
"Bugan","Li 李, Yunbing 云兵",2005,"Bugengyu yanjiu 布赓语研究 [A study of Bugeng]","Minzu Chubanshe 民族出版社","","","","","","",,""
"Bujhyal","Regmi, Dan Raj",2007,"The Bhujel language","","Tribhuvan University","","","","","",,""
"Bulgarian","Ternes, Elmar and Vladimirova-Buhtz, Tatjana",1990,"Bulgarian","","","","","Journal of the international phonetic association","45--47","20",1,""
"Bulo Stieng","Bon, Noëllie",2014,"Une grammaire de la langue stieng, langue en danger du Cambodge et du Vietnam [A grammar of the Stieng language, an endangered language of Cambodia and Vietnam]","","Université Lumière Lyon 2","","","","","",,""
"Bunan","Widmer, Manuel",2014,"A descriptive grammar of Bunan","","Universität Bern","","","","","",,""
"Burmese","Jenny, Mathias and Hnin Tun, San San",2016,"Burmese: a comprehensive grammar","Routledge","","","","","","",,""
"Burushaski","Yoshioka, Noboru",2012,"A Reference Grammar of Eastern Burushaski","","Tokyo University of Foreign Studies","","","","","",,""
"Campidanese Sardinian","Mereu, Daniela",2020,"Cagliari Sardinian","Cambridge University Press","","","","Journal of the International Phonetic Association","389--405","50",3,""
"Cao Miao","Wu, Manxiang",2015,"A grammar of Sanjiang Kam","","University of Hong Kong","","","","","",,""
"Cappadocian Greek","Bağrıaçık, Metin",2018,"Pharasiot Greek: word order and clause structure","","Ghent University","","","","","",,""
"Catalan","José I. Hualde",1992,"Catalan","Routledge","","","","","","",,""
"Central Alemannic","Fleischer, Jürg and Schmid, Stephan",2006,"Zurich German","","","","","Journal of the International Phonetic Association","243--253","36",2,""
"Central Bai","Xu 徐, Lin 琳",1984,"Baiyu jianzhi 白语简志 [A brief description of the Bai language]","Minzu Chubanshe 民族出版社","","","","","","",,""
"Central Chong","Ploykaew, Pornsawan",2001,"Samre Grammar","","Mahidol University","","","","","",,""
"Central Hongshuihe Zhuang","Wei 韦, Maofan 茂繁",2014,"Xiaao zhuàng yu cankao yufa 下坳壮语参考语法 [A reference grammar of Xia'ao Zhuang]","Guangxi Renmin Chubanshe 广西人民出版社","","","","","","",,""
"Central Khmer","Maspero, Georges",1915,"Grammaire de la langue Khmère [Grammar of the Khmer language]","Imprimérie Nationale","","","","","","",,""
