"Lect","Tone"
"A'ou","13"
"A'ou","31"
"A'ou","33"
"A'ou","55"
"Angami Naga","F"
"Angami Naga","H"
"Angami Naga","L"
"Angami Naga","M"
"Angami Naga","R"
"Ao Naga","H"
"Ao Naga","L"
"Ao Naga","M"
"Asho Chin","22/11"
"Asho Chin","44"
"Asho Chin","52"
"Bezhta","H"
"Bezhta","L"
"Bezhta","M"
"Bisu","H"
"Bisu","L"
"Bisu","M"
"Biyo","31"
"Biyo","33"
"Biyo","35"
"Biyo","53"
"Biyo","55"
"Bodo-Mech","H"
"Bodo-Mech","L"
"Bodo-Mech","M"
"Bolyu","11"
"Bolyu","13"
"Bolyu","31"
"Bolyu","33"
"Bolyu","53"
"Bolyu","55"
"Bugan","24"
"Bugan","31"
"Bugan","44"
"Bugan","55"
"Burmese","Hʰ"
"Burmese","Hˀ"
"Burmese","L"
"Cao Miao","21"
"Cao Miao","212"
"Cao Miao","23"
"Cao Miao","3"
"Cao Miao","32/332"
"Cao Miao","33"
"Cao Miao","34/324"
"Cao Miao","35/335"
"Cao Miao","5/45"
"Cao Miao","52/452"
"Central Bai","21"
"Central Bai","31"
"Central Bai","33"
"Central Bai","35"
"Central Bai","42"
"Central Bai","44"
"Central Bai","55"
"Central Bai","55"
"Central Chong","22/21"
"Central Chong","344/334/332"
"Central Chong","451/342"
"Central Hongshuihe Zhuang","13"
"Central Hongshuihe Zhuang","13C"
"Central Hongshuihe Zhuang","21C"
"Central Hongshuihe Zhuang","231"
"Central Hongshuihe Zhuang","31"
"Central Hongshuihe Zhuang","33"
"Central Hongshuihe Zhuang","33C"
"Central Hongshuihe Zhuang","43"
"Central Hongshuihe Zhuang","55"
"Central Hongshuihe Zhuang","55C"
"Chak","H"
"Chak","L"
"Chong of Chanthaburi","HFʰˀ"
"Chong of Chanthaburi","HRˀ/Fˀ"
"Chong of Chanthaburi","LFʰ"
"Chong of Chanthaburi","M/HR"
"Chothe","F"
"Chothe","M"
"Chut","H"
"Chut","HR"
"Chut","L"
"Chut","LFR"
"Cosao","24"
"Cosao","31"
"Cosao","33"
"Cosao","53"
"Cosao","55"
"Daai Chin","HF"
"Daai Chin","M"
"Daohua","324"
"Daohua","332"
"Daohua","51"
"Daohua","554"
"Darma","H"
"Darma","L"
"Deori","H"
"Deori","M"
"Dungan","24"
"Dungan","44"
"Dungan","51"
"Duoluo Gelao","31"
"Duoluo Gelao","33"
"Duoluo Gelao","35"
"Duoluo Gelao","55"
"E","24"
"E","24C"
"E","31"
"E","35"
"E","51"
"E","54C"
"E","55"
"East-Central Tangkhul Naga","F"
"East-Central Tangkhul Naga","M"
"Eastern Kayah","11"
"Eastern Kayah","21"
"Eastern Kayah","33"
"Eastern Kayah","52"
"Eastern Kayah","55"
"Eastern Panjabi","H"
"Eastern Panjabi","L"
"Eastern Tamang","H"
"Eastern Tamang","HF"
"Eastern Tamang","L"
"Eastern Tamang","LF"
"Enu","31"
"Enu","33"
"Enu","55"
"Ersu","H"
"Ersu","M"
"Galo","21"
"Galo","44"
"Gan Chinese","213"
"Gan Chinese","34"
"Gan Chinese","42"
"Gan Chinese","44"
"Gan Chinese","5"
"Godoberi","HH"
"Godoberi","HL"
"Godoberi","LL"
"Guiqiong","21"
"Guiqiong","33"
"Guiqiong","55"
"Hakka Chinese","F"
"Hakka Chinese","H"
"Hakka Chinese","HC"
"Hakka Chinese","L"
"Hakka Chinese","M"
"Hakka Chinese","MC"
"Hills Karbi","H"
"Hills Karbi","L"
"Hills Karbi","M"
"Hmong Njua","H"
"Hmong Njua","HF"
"Hmong Njua","Lˀ"
"Hmong Njua","M"
"Hmong Njua","ML"
"Hmong Njua","MLʰ"
"Hmong Njua","MR"
"Honi","13"
"Honi","31"
"Honi","33"
"Honi","53"
"Honi","55"
"Hui Chinese","11"
"Hui Chinese","24"
"Hui Chinese","31"
"Hui Chinese","44"
"Hui Chinese","5"
"Hui Chinese","52"
"Ingush","H"
"Iu Mien","11"
"Iu Mien","11C"
"Iu Mien","23"
"Iu Mien","231"
"Iu Mien","31"
"Iu Mien","44"
"Iu Mien","453"
"Iu Mien","55C"
"Japanese","H"
"Japanese","L"
"Jinyu Chinese","11"
"Jinyu Chinese","2"
"Jinyu Chinese","45"
"Jinyu Chinese","53"
"Jinyu Chinese","54"
"Jiongnai Bunu","22"
"Jiongnai Bunu","31"
"Jiongnai Bunu","32"
"Jiongnai Bunu","33"
"Jiongnai Bunu","35"
"Jiongnai Bunu","43"
"Jiongnai Bunu","44"
"Jiongnai Bunu","53"
"Kado","H"
"Kado","L"
"Kado","M"
"Kaduo","31"
"Kaduo","33"
"Kaduo","35"
"Kaduo","51"
"Kaduo","55"
"Kangri","H"
"Kangri","L"
"Kangri","M"
"Katso","24"
"Katso","31"
"Katso","323"
"Katso","33"
"Katso","35"
"Katso","44"
"Katso","53"
"Katso","55"
"Kayan Lahwi","11"
"Kayan Lahwi","22"
"Kayan Lahwi","33"
"Kayan Lahwi","42"
"Kayan Lahwi","54"
"Kayan Lahwi","55"
"Ket","F"
"Ket","Fˀ"
"Ket","M"
"Ket","RF"
"Khams Tibetan","13"
"Khams Tibetan","353"
"Khams Tibetan","53"
"Khezha Naga","H"
"Khezha Naga","L"
"Khezha Naga","M"
"Khroskyabs","H"
